frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
223,6.0,[926.5343463576964 1478.695755357661 1657.4375723215944 2061.075670890619],[1171.2425537109375 1831.7332763671875 1390.2119140625 1943.1492919921875],0.5649659633636475,GX15OGJ,0.5047290298540147
225,1.0,[2055.484580714151 1134.4270733307685 2573.3354568538316 1582.7051826863767],[2232.71630859375 1409.6722412109375 2431.2861328125 1496.30419921875],0.2697470784187317,AF05JEO,0.1407127905642588
226,6.0,[921.2889220654733 1491.290248033195 1658.7840122858988 2078.2510496755413],[1167.7353515625 1844.9805908203125 1386.6815185546875 1956.441650390625],0.5974546670913696,GX15OGJ,0.3714273675996514
226,1.0,[2055.9612988574454 1136.0915522779349 2575.8440914131024 1584.225760604257],[2223.10400390625 1403.441650390625 2432.200927734375 1499.9525146484375],0.41108810901641846,AF05JEO,0.5110333274402507
227,6.0,[912.5716874571885 1495.2320198365703 1652.664207723606 2084.1217713517426],[1176.489013671875 1852.7530517578125 1387.241943359375 1954.1795654296875],0.5662286877632141,GX15OGJ,0.316302255632723
227,1.0,[2055.1120962587593 1136.238597617082 2576.487480217639 1585.1611779105563],[2220.215087890625 1409.7357177734375 2433.8984375 1503.4556884765625],0.5072096586227417,AF05JEO,0.18545835028966948
227,8.0,[1149.0700510063546 1061.1954583990291 1621.4138673755972 1475.792265098802],[1319.732421875 1290.737060546875 1465.44775390625 1365.6873779296875],0.25315630435943604,KH05ZIN,0.16399835529515408
228,6.0,[908.3376696162502 1497.717870023319 1654.4876483032692 2089.1291560997524],[1152.3670654296875 1864.2454833984375 1364.8890380859375 1961.7498779296875],0.44205474853515625,GX15OGJ,0.3891940690858114
229,6.0,[905.6403263386396 1498.087761204576 1656.5142245034435 2091.316027526276],[1152.292236328125 1864.0887451171875 1364.756103515625 1961.7982177734375],0.4364660978317261,GX15OGJ,0.3891940690858114
231,1.0,[2052.63979621701 1140.2733367695566 2579.999239430674 1593.9504027222954],[2232.501708984375 1417.0804443359375 2436.380859375 1504.1591796875],0.401645690202713,AF05JEO,0.41730785988022784
231,8.0,[1147.1417026256572 1068.5106562905007 1619.5312750818043 1481.883594912265],[1316.6485595703125 1300.05322265625 1456.06787109375 1377.4317626953125],0.2771853506565094,KM05ZIN,0.26511030304911576
232,6.0,[896.7564922387454 1509.6346823890901 1656.2621868984797 2102.391115045902],[1156.682373046875 1878.0966796875 1374.331298828125 1977.186767578125],0.5048551559448242,GX15OGJ,0.3970631587815103
232,8.0,[1147.5833930413976 1070.4170449235924 1618.8522554699532 1483.1482072732804],[1314.93017578125 1298.983154296875 1459.4794921875 1384.2982177734375],0.27152422070503235,KM05ZIC,0.14989535152542208
238,6.0,[894.0840841309239 1530.912740402768 1656.5677773326045 2117.4017679564254],[1138.96484375 1888.144775390625 1357.060302734375 2002.8035888671875],0.5897855162620544,GX15OGJ,0.5347416229491787
238,1.0,[2054.8076470809733 1155.487662031904 2584.999290277669 1613.54230407827],[2226.3291015625 1436.5631103515625 2444.27001953125 1528.85595703125],0.2875988483428955,AP05JEO,0.568046272034214
239,6.0,[891.7754031485164 1535.8607147535022 1655.1102747065102 2122.184370211035],[1156.99365234375 1903.5758056640625 1362.2677001953125 2009.9278564453125],0.5873304009437561,GX15OGJ,0.3034234701360716
240,6.0,[884.56287823958 1538.885618251166 1652.076957950702 2126.394873161245],[1144.783447265625 1908.2684326171875 1362.553466796875 2011.5260009765625],0.5734874606132507,GV15OGJ,0.12839674943654983
241,6.0,[881.2098249597077 1539.741241000108 1651.6801035322821 2128.1326260699793],[1144.6971435546875 1908.1812744140625 1362.5853271484375 2011.5966796875],0.572679877281189,GV15OGJ,0.12839674943654983
